Season,Club,Expenditure,Arrivals,Income,Departures,Balance,Transfer
13-14,Tottenham Hotspur,122.530,30,127.350,20,4.830,Summer
13-14,Manchester City,116.000,15,11.300,14,-104.700,Summer
13-14,Chelsea FC,74.250,41,10.700,22,-63.550,Summer
13-14,Liverpool FC,58.100,22,32.500,22,-25.600,Summer
13-14,Arsenal FC,18.500,24,11.800,22,-36.700,Summer
13-14,Southampton FC,39.600,17,2.000,14,-37.600,Summer
13-14,Cardiff City,38.170,16,0.000,16,-38.170,Summer
13-14,Manchester United,32.400,21,0.000,16,-32.400,Summer
13-14,Everton FC,29.800,13,38.300,14,8.500,Summer
13-14,Norwich City,29.200,17,4.420,20,-24.790,Summer
13-14,Sunderland AFC,26.600,29,22.230,22,-4.370,Summer
13-14,Swansea City,26.400,14,0.000,15,-26.400,Summer
13-14,West Ham United,23.300,18,0.530,15,-22.770,Summer
13-14,Crystal Palace,21.820,36,0.000,17,-21.820,Summer
13-14,Aston Villa,19.840,22,8.100,21,-11.740,Summer
13-14,West Bromwich Albion,15.200,12,2.900,16,-12.300,Summer
13-14,Hull City,14.800,22,0.880,19,-13.920,Summer
13-14,Fulham FC,14.100,24,3.150,22,-10.950,Summer
13-14,Stoke City,7.000,14,0.000,12,-7.000,Summer
13-14,Newcastle United,2.300,12,0.870,15,-1.430,Summer
13-14,Chelsea FC,56.100,12,67.230,15,11.130,Winter
13-14,Manchester United,44.730,8,1.800,11,-42.930,Winter
13-14,Hull City,16.300,11,0.000,13,-16.300,Winter
13-14,Fulham FC,15.200,12,1.000,9,-14.200,Winter
13-14,Crystal Palace,11.180,11,0.000,18,-11.180,Winter
13-14,Cardiff City,7.650,19,3.740,13,-3.910,Winter
13-14,Sunderland AFC,7.310,12,0.150,14,-7.160,Winter
13-14,Everton FC,2.000,6,7.800,7,5.800,Winter
13-14,Newcastle United,1.500,6,25.000,4,23.500,Winter
13-14,Norwich City,0.850,5,0.720,5,-0.430,Winter
13-14,Arsenal FC,0.750,4,0.350,6,-0.400,Winter
13-14,West Ham United,0.700,7,0.000,7,-0.700,Winter
13-14,West Bromwich Albion,0.500,4,8.500,5,8.000,Winter
13-14,Swansea City,0.210,11,0.000,6,-0.210,Winter
13-14,Liverpool FC,0.000,3,0.000,4,0.000,Winter
13-14,Tottenham Hotspur,0.000,3,7.880,8,7.880,Winter
13-14,Southampton FC,0.000,5,2.200,10,2.200,Winter
13-14,Manchester City,0.000,4,0.000,6,0.000,Winter
13-14,Aston Villa,0.000,10,0.000,8,0.000,Winter
13-14,Stoke City,0.000,7,0.000,8,0.000,Winter
14-15,Manchester United,195.350,25,42.900,22,-152.450,Summer
14-15,Liverpool FC,151.430,28,91.970,17,-59.460,Summer
14-15,Chelsea FC,106.700,44,96.510,34,-10.190,Summer
14-15,Arsenal FC,101.730,18,25.200,15,-76.530,Summer
14-15,Southampton FC,82.200,19,119.830,22,37.630,Summer
14-15,Manchester City,70.500,17,30.300,15,-40.200,Summer
14-15,Newcastle United,45.020,26,16.520,18,-28.500,Summer
14-15,Hull City,44.260,22,18.700,21,-25.560,Summer
14-15,Queens Park Rangers,43.470,26,19.700,36,-23.770,Summer
14-15,Tottenham Hotspur,41.850,20,37.550,19,-4.300,Summer
14-15,Everton FC,40.160,15,1.900,9,-38.260,Summer
14-15,West Ham United,33.250,22,4.400,18,-28.850,Summer
14-15,Swansea City,28.690,21,29.600,22,0.910,Summer
14-15,Sunderland AFC,19.020,20,7.250,27,-11.770,Summer
14-15,West Bromwich Albion,18.530,16,2.300,15,-16.230,Summer
14-15,Crystal Palace,15.740,25,1.800,29,-13.940,Summer
14-15,Leicester City,13.860,23,0.000,18,-13.860,Summer
14-15,Burnley FC,10.060,20,0.000,16,-10.060,Summer
14-15,Aston Villa,9.250,25,1.250,24,-8.000,Summer
14-15,Stoke City,1.800,16,3.800,15,2.000,Summer
14-15,Manchester City,32.300,5,0.230,5,-32.080,Winter
14-15,Chelsea FC,31.000,13,46.300,15,15.300,Winter
14-15,Arsenal FC,17.200,4,2.600,8,-14.650,Winter
14-15,Crystal Palace,15.400,18,1.070,14,-14.410,Winter
14-15,Southampton FC,13.800,7,4.000,5,-9.800,Winter
14-15,Swansea City,12.800,7,32.300,8,19.460,Winter
14-15,Leicester City,9.000,8,0.000,7,-9.000,Winter
14-15,Tottenham Hotspur,6.630,5,6.600,8,-0.030,Winter
14-15,West Bromwich Albion,6.350,2,0.000,5,-6.350,Winter
14-15,Aston Villa,4.200,9,0.070,9,-4.140,Winter
14-15,Hull City,3.960,10,0.000,8,-3.960,Winter
14-15,Sunderland AFC,3.500,4,0.000,6,-3.500,Winter
14-15,Burnley FC,2.560,4,0.000,7,-2.560,Winter
14-15,West Ham United,1.900,7,0.000,11,-1.900,Winter
14-15,Queens Park Rangers,0.070,9,6.340,3,6.270,Winter
14-15,Everton FC,0.000,4,0.000,8,0.000,Winter
14-15,Liverpool FC,0.000,5,7.300,7,7.300,Winter
14-15,Stoke City,0.000,4,0.000,6,0.000,Winter
14-15,Newcastle United,0.000,3,7.350,9,7.350,Winter
14-15,Manchester United,0.000,7,6.360,10,6.360,Winter
15-16,Manchester City,207.880,24,67.440,20,-140.440,Summer
15-16,Manchester United,156.000,17,102.000,17,-53.930,Summer
15-16,Liverpool FC,119.500,24,89.550,24,-29.950,Summer
15-16,Chelsea FC,85.900,47,59.090,31,-26.810,Summer
15-16,Tottenham Hotspur,71.000,12,71.550,18,0.550,Summer
15-16,Newcastle United,69.210,19,4.900,19,-64.310,Summer
15-16,Aston Villa,66.550,26,64.700,24,-1.850,Summer
15-16,Southampton FC,54.900,12,52.700,14,-2.200,Summer
15-16,Watford FC,48.630,29,7.750,22,-40.880,Summer
15-16,West Ham United,46.900,21,11.900,22,-35.000,Summer
15-16,Sunderland AFC,45.350,23,10.750,17,-34.600,Summer
15-16,West Bromwich Albion,42.900,10,12.920,11,-29.980,Summer
15-16,Leicester City,38.200,20,9.200,25,-29.000,Summer
15-16,AFC Bournemouth,31.000,28,0.000,22,-31.000,Summer
15-16,Stoke City,29.400,13,23.200,11,-6.200,Summer
15-16,Crystal Palace,28.800,12,5.400,21,-23.400,Summer
15-16,Everton FC,27.000,15,0.000,11,-27.000,Summer
15-16,Norwich City,15.800,21,8.240,22,-7.560,Summer
15-16,Arsenal FC,14.000,11,2.500,10,-11.500,Summer
15-16,Swansea City,13.010,17,0.710,17,-12.310,Summer
15-16,Newcastle United,38.700,8,0.730,5,-37.970,Winter
15-16,Watford FC,34.900,10,2.000,10,-32.900,Winter
15-16,Norwich City,31.750,14,13.250,10,-18.500,Winter
15-16,Stoke City,24.250,3,0.000,5,-24.250,Winter
15-16,AFC Bournemouth,24.110,7,0.650,12,-23.460,Winter
15-16,Everton FC,21.900,5,11.000,7,-10.900,Winter
15-16,Sunderland AFC,20.700,10,0.250,11,-20.450,Winter
15-16,Arsenal FC,12.500,4,0.000,2,-12.500,Winter
15-16,Leicester City,11.700,7,0.250,8,-11.450,Winter
15-16,Swansea City,8.800,6,16.100,8,7.300,Winter
15-16,Liverpool FC,7.000,7,1.000,1,-6.000,Winter
15-16,West Ham United,5.800,7,6.620,9,0.820,Winter
15-16,Southampton FC,5.200,4,0.000,4,-5.200,Winter
15-16,Chelsea FC,4.600,7,28.400,8,23.800,Winter
15-16,Manchester City,0.320,4,0.000,4,-0.320,Winter
15-16,Tottenham Hotspur,0.000,0,16.030,4,16.030,Winter
15-16,Aston Villa,0.000,6,0.000,8,0.000,Winter
15-16,Crystal Palace,0.000,9,0.000,5,0.000,Winter
15-16,West Bromwich Albion,0.000,2,0.000,2,0.000,Winter
15-16,Manchester United,0.000,5,0.000,4,0.000,Winter
16-17,Manchester United,185.000,8,8.250,10,-176.750,Summer
16-17,Manchester City,183.000,36,14.850,19,-168.150,Summer
16-17,Chelsea FC,132.800,38,42.000,25,-90.800,Summer
